Territorio;Tipo de centro de AP;Medida;Valor;
Cádiar;Consultorio local;Número de centros;-;
Cádiar;Consultorio auxiliar;Número de centros;1;
Cádiar;TOTAL;Número de centros;2;
Cájar;Centro de salud;Número de centros;-;
Cájar;Consultorio local;Número de centros;2;
Cájar;Consultorio auxiliar;Número de centros;-;
Cájar;TOTAL;Número de centros;2;
Calicasas;Centro de salud;Número de centros;-;
Calicasas;Consultorio local;Número de centros;-;
Calicasas;Consultorio auxiliar;Número de centros;1;
Calicasas;TOTAL;Número de centros;1;
Campotéjar;Centro de salud;Número de centros;-;
Campotéjar;Consultorio local;Número de centros;1;
Campotéjar;Consultorio auxiliar;Número de centros;-;
Campotéjar;TOTAL;Número de centros;1;
Caniles;Centro de salud;Número de centros;-;
Caniles;Consultorio local;Número de centros;1;
Caniles;Consultorio auxiliar;Número de centros;-;
Caniles;TOTAL;Número de centros;1;
Cáñar;Centro de salud;Número de centros;-;
Cáñar;Consultorio local;Número de centros;1;
Cáñar;Consultorio auxiliar;Número de centros;-;
Cáñar;TOTAL;Número de centros;1;
Capileira;Centro de salud;Número de centros;-;
Capileira;Consultorio local;Número de centros;-;
Capileira;Consultorio auxiliar;Número de centros;1;
Capileira;TOTAL;Número de centros;1;
Carataunas;Centro de salud;Número de centros;-;
Carataunas;Consultorio local;Número de centros;-;
Carataunas;Consultorio auxiliar;Número de centros;1;
Carataunas;TOTAL;Número de centros;1;
Cástaras;Centro de salud;Número de centros;-;
Cástaras;Consultorio local;Número de centros;1;
Cástaras;Consultorio auxiliar;Número de centros;1;
Cástaras;TOTAL;Número de centros;2;
Castilléjar;Centro de salud;Número de centros;-;
Castilléjar;Consultorio local;Número de centros;1;
Castilléjar;Consultorio auxiliar;Número de centros;2;
Castilléjar;TOTAL;Número de centros;3;
Castril;Centro de salud;Número de centros;-;
Castril;Consultorio local;Número de centros;1;
Castril;Consultorio auxiliar;Número de centros;2;
Castril;TOTAL;Número de centros;3;
Cenes de la Vega;Centro de salud;Número de centros;1;
Cenes de la Vega;Consultorio local;Número de centros;-;
Cenes de la Vega;Consultorio auxiliar;Número de centros;-;
Cenes de la Vega;TOTAL;Número de centros;1;
Chauchina;Centro de salud;Número de centros;-;
Chauchina;Consultorio local;Número de centros;1;
Chauchina;Consultorio auxiliar;Número de centros;2;
Chauchina;TOTAL;Número de centros;3;
Chimeneas;Centro de salud;Número de centros;-;
Chimeneas;Consultorio local;Número de centros;1;
Chimeneas;Consultorio auxiliar;Número de centros;1;
Chimeneas;TOTAL;Número de centros;2;
Churriana de la Vega;Centro de salud;Número de centros;1;
Churriana de la Vega;Consultorio local;Número de centros;-;
Churriana de la Vega;Consultorio auxiliar;Número de centros;-;
Churriana de la Vega;TOTAL;Número de centros;1;
Cijuela;Centro de salud;Número de centros;-;
Cijuela;Consultorio local;Número de centros;1;
Cijuela;Consultorio auxiliar;Número de centros;-;
Cijuela;TOTAL;Número de centros;1;
Cogollos de Guadix;Centro de salud;Número de centros;-;
Cogollos de Guadix;Consultorio local;Número de centros;1;
Cogollos de Guadix;Consultorio auxiliar;Número de centros;-;
Cogollos de Guadix;TOTAL;Número de centros;1;
Cogollos de la Vega;Centro de salud;Número de centros;-;
Cogollos de la Vega;Consultorio local;Número de centros;1;
Cogollos de la Vega;Consultorio auxiliar;Número de centros;-;
Cogollos de la Vega;TOTAL;Número de centros;1;
Colomera;Centro de salud;Número de centros;-;
Colomera;Consultorio local;Número de centros;1;
Colomera;Consultorio auxiliar;Número de centros;1;
Colomera;TOTAL;Número de centros;2;
Cortes de Baza;Centro de salud;Número de centros;-;
Cortes de Baza;Consultorio local;Número de centros;2;
Cortes de Baza;Consultorio auxiliar;Número de centros;3;
Cortes de Baza;TOTAL;Número de centros;5;
Cortes y Graena;Centro de salud;Número de centros;-;
Cortes y Graena;Consultorio local;Número de centros;1;
Cortes y Graena;Consultorio auxiliar;Número de centros;3;
Cortes y Graena;TOTAL;Número de centros;4;
Cuevas del Campo;Centro de salud;Número de centros;-;
Cuevas del Campo;Consultorio local;Número de centros;1;
Cuevas del Campo;Consultorio auxiliar;Número de centros;-;
Cuevas del Campo;TOTAL;Número de centros;1;
Cúllar;Centro de salud;Número de centros;-;
Cúllar;Consultorio local;Número de centros;1;
Cúllar;Consultorio auxiliar;Número de centros;4;
Cúllar;TOTAL;Número de centros;5;
Cúllar Vega;Centro de salud;Número de centros;-;
Cúllar Vega;Consultorio local;Número de centros;1;
Cúllar Vega;Consultorio auxiliar;Número de centros;-;
Cúllar Vega;TOTAL;Número de centros;1;
Darro;Centro de salud;Número de centros;-;
Darro;Consultorio local;Número de centros;1;
Darro;Consultorio auxiliar;Número de centros;-;
Darro;TOTAL;Número de centros;1;
Dehesas de Guadix;Centro de salud;Número de centros;-;
Dehesas de Guadix;Consultorio local;Número de centros;1;
Dehesas de Guadix;Consultorio auxiliar;Número de centros;-;
Dehesas de Guadix;TOTAL;Número de centros;1;
Dehesas Viejas;Centro de salud;Número de centros;-;
Dehesas Viejas;Consultorio local;Número de centros;1;
Dehesas Viejas;Consultorio auxiliar;Número de centros;-;
Dehesas Viejas;TOTAL;Número de centros;1;
Deifontes;Centro de salud;Número de centros;-;
Deifontes;Consultorio local;Número de centros;1;
Deifontes;Consultorio auxiliar;Número de centros;-;
Deifontes;TOTAL;Número de centros;1;
Diezma;Centro de salud;Número de centros;-;
Diezma;Consultorio local;Número de centros;1;
Diezma;Consultorio auxiliar;Número de centros;1;
Diezma;TOTAL;Número de centros;2;
Dílar;Centro de salud;Número de centros;-;
Dílar;Consultorio local;Número de centros;1;
Dílar;Consultorio auxiliar;Número de centros;-;
Dílar;TOTAL;Número de centros;1;
Dólar;Centro de salud;Número de centros;-;
Dólar;Consultorio local;Número de centros;1;
Dólar;Consultorio auxiliar;Número de centros;-;
Dólar;TOTAL;Número de centros;1;
Domingo Pérez de Granada;Centro de salud;Número de centros;-;
Domingo Pérez de Granada;Consultorio local;Número de centros;1;
Domingo Pérez de Granada;Consultorio auxiliar;Número de centros;-;
Domingo Pérez de Granada;TOTAL;Número de centros;1;
Dúdar;Centro de salud;Número de centros;-;
Dúdar;Consultorio local;Número de centros;-;
Dúdar;Consultorio auxiliar;Número de centros;1;
Dúdar;TOTAL;Número de centros;1;
Dúrcal;Centro de salud;Número de centros;1;
Dúrcal;Consultorio local;Número de centros;-;
Dúrcal;Consultorio auxiliar;Número de centros;-;
Dúrcal;TOTAL;Número de centros;1;
El Pinar;Centro de salud;Número de centros;-;
El Pinar;Consultorio local;Número de centros;1;
El Pinar;Consultorio auxiliar;Número de centros;2;
El Pinar;TOTAL;Número de centros;3;
El Valle;Centro de salud;Número de centros;-;
El Valle;Consultorio local;Número de centros;1;
El Valle;Consultorio auxiliar;Número de centros;2;
El Valle;TOTAL;Número de centros;3;
Escúzar;Centro de salud;Número de centros;-;
Escúzar;Consultorio local;Número de centros;1;
Escúzar;Consultorio auxiliar;Número de centros;-;
Escúzar;TOTAL;Número de centros;1;
Ferreira;Centro de salud;Número de centros;-;
Ferreira;Consultorio local;Número de centros;-;
Ferreira;Consultorio auxiliar;Número de centros;1;
Ferreira;TOTAL;Número de centros;1;
Fonelas;Centro de salud;Número de centros;-;
Fonelas;Consultorio local;Número de centros;1;
Fonelas;Consultorio auxiliar;Número de centros;-;
Fonelas;TOTAL;Número de centros;1;
Fornes;Centro de salud;Número de centros;-;
Fornes;Consultorio local;Número de centros;1;
Fornes;Consultorio auxiliar;Número de centros;-;
Fornes;TOTAL;Número de centros;1;
Freila;Centro de salud;Número de centros;-;
Freila;Consultorio local;Número de centros;1;
Freila;Consultorio auxiliar;Número de centros;-;
Freila;TOTAL;Número de centros;1;
Fuente Vaqueros;Centro de salud;Número de centros;-;
Fuente Vaqueros;Consultorio local;Número de centros;1;
Fuente Vaqueros;Consultorio auxiliar;Número de centros;-;
Fuente Vaqueros;TOTAL;Número de centros;1;
Galera;Centro de salud;Número de centros;-;
Galera;Consultorio local;Número de centros;1;
Galera;Consultorio auxiliar;Número de centros;1;
Galera;TOTAL;Número de centros;2;
Gobernador;Centro de salud;Número de centros;-;
Gobernador;Consultorio local;Número de centros;-;
Gobernador;Consultorio auxiliar;Número de centros;1;
Gobernador;TOTAL;Número de centros;1;
Gójar;Centro de salud;Número de centros;-;
Gójar;Consultorio local;Número de centros;1;
Gójar;Consultorio auxiliar;Número de centros;-;
Gójar;TOTAL;Número de centros;1;
Gor;Centro de salud;Número de centros;-;
Gor;Consultorio local;Número de centros;1;
Gor;Consultorio auxiliar;Número de centros;3;
Gor;TOTAL;Número de centros;4;
Gorafe;Centro de salud;Número de centros;-;
Gorafe;Consultorio local;Número de centros;1;
Gorafe;Consultorio auxiliar;Número de centros;-;
Gorafe;TOTAL;Número de centros;1;
Granada (capital);Centro de salud;Número de centros;17;
Granada (capital);Consultorio local;Número de centros;4;
Granada (capital);Consultorio auxiliar;Número de centros;-;
Granada (capital);TOTAL;Número de centros;21;
Guadahortuna;Centro de salud;Número de centros;-;
Guadahortuna;Consultorio local;Número de centros;1;
Guadahortuna;Consultorio auxiliar;Número de centros;-;
Guadahortuna;TOTAL;Número de centros;1;
Guadix;Centro de salud;Número de centros;1;
Guadix;Consultorio local;Número de centros;3;
Guadix;Consultorio auxiliar;Número de centros;4;
Guadix;TOTAL;Número de centros;8;
Gualchos;Centro de salud;Número de centros;-;
Gualchos;Consultorio local;Número de centros;2;
Gualchos;Consultorio auxiliar;Número de centros;-;
Gualchos;TOTAL;Número de centros;2;
Güéjar Sierra;Centro de salud;Número de centros;-;
Güéjar Sierra;Consultorio local;Número de centros;1;
Güéjar Sierra;Consultorio auxiliar;Número de centros;-;
Güéjar Sierra;TOTAL;Número de centros;1;
Güevéjar;Centro de salud;Número de centros;-;
Güevéjar;Consultorio local;Número de centros;1;
Güevéjar;Consultorio auxiliar;Número de centros;-;
Güevéjar;TOTAL;Número de centros;1;
Huélago;Centro de salud;Número de centros;-;
Huélago;Consultorio local;Número de centros;1;
Huélago;Consultorio auxiliar;Número de centros;-;
Huélago;TOTAL;Número de centros;1;
Huéneja;Centro de salud;Número de centros;-;
Huéneja;Consultorio local;Número de centros;1;
Huéneja;Consultorio auxiliar;Número de centros;1;
Huéneja;TOTAL;Número de centros;2;
Huéscar;Centro de salud;Número de centros;1;
Huéscar;Consultorio local;Número de centros;-;
Huéscar;Consultorio auxiliar;Número de centros;-;
Huéscar;TOTAL;Número de centros;1;
Huétor de Santillán;Centro de salud;Número de centros;-;
Huétor de Santillán;Consultorio local;Número de centros;1;
Huétor de Santillán;Consultorio auxiliar;Número de centros;-;
Huétor de Santillán;TOTAL;Número de centros;1;
Huétor Tájar;Centro de salud;Número de centros;1;
Huétor Tájar;Consultorio local;Número de centros;-;
Huétor Tájar;Consultorio auxiliar;Número de centros;1;
Huétor Tájar;TOTAL;Número de centros;2;
Huétor Vega;Centro de salud;Número de centros;1;
Huétor Vega;Consultorio local;Número de centros;-;
Huétor Vega;Consultorio auxiliar;Número de centros;-;
Huétor Vega;TOTAL;Número de centros;1;
Íllora;Centro de salud;Número de centros;1;
Íllora;Consultorio local;Número de centros;3;
Íllora;Consultorio auxiliar;Número de centros;2;
Íllora;TOTAL;Número de centros;6;
Ítrabo;Centro de salud;Número de centros;-;
Ítrabo;Consultorio local;Número de centros;1;
Ítrabo;Consultorio auxiliar;Número de centros;-;
Ítrabo;TOTAL;Número de centros;1;
Iznalloz;Centro de salud;Número de centros;1;
Iznalloz;Consultorio local;Número de centros;-;
Iznalloz;Consultorio auxiliar;Número de centros;-;
Iznalloz;TOTAL;Número de centros;1;
Játar;Centro de salud;Número de centros;-;
Játar;Consultorio local;Número de centros;-;
Játar;Consultorio auxiliar;Número de centros;1;
Játar;TOTAL;Número de centros;1;
Jayena;Centro de salud;Número de centros;-;
Jayena;Consultorio local;Número de centros;1;
Jayena;Consultorio auxiliar;Número de centros;-;
Jayena;TOTAL;Número de centros;1;
Jérez del Marquesado;Centro de salud;Número de centros;-;
Jérez del Marquesado;Consultorio local;Número de centros;1;
Jérez del Marquesado;Consultorio auxiliar;Número de centros;-;
Jérez del Marquesado;TOTAL;Número de centros;1;
Jete;Centro de salud;Número de centros;-;
Jete;Consultorio local;Número de centros;1;
Jete;Consultorio auxiliar;Número de centros;1;
Jete;TOTAL;Número de centros;2;
Jun;Centro de salud;Número de centros;-;
Jun;Consultorio local;Número de centros;1;
Jun;Consultorio auxiliar;Número de centros;-;
Jun;TOTAL;Número de centros;1;
Juviles;Centro de salud;Número de centros;-;
Juviles;Consultorio local;Número de centros;-;
Juviles;Consultorio auxiliar;Número de centros;1;
Juviles;TOTAL;Número de centros;1;
La Calahorra;Centro de salud;Número de centros;-;
La Calahorra;Consultorio local;Número de centros;1;
La Calahorra;Consultorio auxiliar;Número de centros;-;
La Calahorra;TOTAL;Número de centros;1;
La Malahá;Centro de salud;Número de centros;-;
La Malahá;Consultorio local;Número de centros;1;
La Malahá;Consultorio auxiliar;Número de centros;-;
La Malahá;TOTAL;Número de centros;1;
La Peza;Centro de salud;Número de centros;-;
La Peza;Consultorio local;Número de centros;1;
La Peza;Consultorio auxiliar;Número de centros;1;
La Peza;TOTAL;Número de centros;2;
La Taha;Centro de salud;Número de centros;-;
La Taha;Consultorio local;Número de centros;1;
La Taha;Consultorio auxiliar;Número de centros;2;
La Taha;TOTAL;Número de centros;3;
La Zubia;Centro de salud;Número de centros;1;
La Zubia;Consultorio local;Número de centros;-;
La Zubia;Consultorio auxiliar;Número de centros;-;
La Zubia;TOTAL;Número de centros;1;
Láchar;Centro de salud;Número de centros;-;
Láchar;Consultorio local;Número de centros;2;
Láchar;Consultorio auxiliar;Número de centros;-;
Láchar;TOTAL;Número de centros;2;
Lanjarón;Centro de salud;Número de centros;-;
Lanjarón;Consultorio local;Número de centros;1;
Lanjarón;Consultorio auxiliar;Número de centros;-;
Lanjarón;TOTAL;Número de centros;1;
Lanteira;Centro de salud;Número de centros;-;
Lanteira;Consultorio local;Número de centros;1;
Lanteira;Consultorio auxiliar;Número de centros;-;
Lanteira;TOTAL;Número de centros;1;
Las Gabias;Centro de salud;Número de centros;-;
Las Gabias;Consultorio local;Número de centros;2;
Las Gabias;Consultorio auxiliar;Número de centros;1;
Las Gabias;TOTAL;Número de centros;3;
Lecrín;Centro de salud;Número de centros;-;
Lecrín;Consultorio local;Número de centros;1;
Lecrín;Consultorio auxiliar;Número de centros;4;
Lecrín;TOTAL;Número de centros;5;
Lentegí;Centro de salud;Número de centros;-;
Lentegí;Consultorio local;Número de centros;1;
Lentegí;Consultorio auxiliar;Número de centros;-;
Lentegí;TOTAL;Número de centros;1;
Lobras;Centro de salud;Número de centros;-;
Lobras;Consultorio local;Número de centros;-;
Lobras;Consultorio auxiliar;Número de centros;2;
Lobras;TOTAL;Número de centros;2;
Loja;Centro de salud;Número de centros;1;
Loja;Consultorio local;Número de centros;2;
Loja;Consultorio auxiliar;Número de centros;5;
Loja;TOTAL;Número de centros;8;
Los Guájares;Centro de salud;Número de centros;-;
Los Guájares;Consultorio local;Número de centros;1;
Los Guájares;Consultorio auxiliar;Número de centros;2;
Los Guájares;TOTAL;Número de centros;3;
Lugros;Centro de salud;Número de centros;-;
Lugros;Consultorio local;Número de centros;1;
Lugros;Consultorio auxiliar;Número de centros;-;
Lugros;TOTAL;Número de centros;1;
Lújar;Centro de salud;Número de centros;-;
Lújar;Consultorio local;Número de centros;-;
Lújar;Consultorio auxiliar;Número de centros;2;
Lújar;TOTAL;Número de centros;2;
Maracena;Centro de salud;Número de centros;1;
Maracena;Consultorio local;Número de centros;-;
Maracena;Consultorio auxiliar;Número de centros;-;
Maracena;TOTAL;Número de centros;1;
Marchal;Centro de salud;Número de centros;-;
Marchal;Consultorio local;Número de centros;-;
Marchal;Consultorio auxiliar;Número de centros;1;
Marchal;TOTAL;Número de centros;1;
Moclín;Centro de salud;Número de centros;-;
Moclín;Consultorio local;Número de centros;4;
Moclín;Consultorio auxiliar;Número de centros;2;
Moclín;TOTAL;Número de centros;6;
Molvízar;Centro de salud;Número de centros;-;
Molvízar;Consultorio local;Número de centros;1;
Molvízar;Consultorio auxiliar;Número de centros;-;
Molvízar;TOTAL;Número de centros;1;
Monachil;Centro de salud;Número de centros;-;
Monachil;Consultorio local;Número de centros;3;
Monachil;Consultorio auxiliar;Número de centros;-;
Monachil;TOTAL;Número de centros;3;
Montefrío;Centro de salud;Número de centros;1;
Montefrío;Consultorio local;Número de centros;-;
Montefrío;Consultorio auxiliar;Número de centros;-;
Montefrío;TOTAL;Número de centros;1;
Montejícar;Centro de salud;Número de centros;-;
Montejícar;Consultorio local;Número de centros;1;
Montejícar;Consultorio auxiliar;Número de centros;-;
Montejícar;TOTAL;Número de centros;1;
Montillana;Centro de salud;Número de centros;-;
Montillana;Consultorio local;Número de centros;1;
Montillana;Consultorio auxiliar;Número de centros;1;
Montillana;TOTAL;Número de centros;2;
Moraleda de Zafayona;Centro de salud;Número de centros;-;
Moraleda de Zafayona;Consultorio local;Número de centros;2;
Moraleda de Zafayona;Consultorio auxiliar;Número de centros;1;
Moraleda de Zafayona;TOTAL;Número de centros;3;
Morelábor;Centro de salud;Número de centros;-;
Morelábor;Consultorio local;Número de centros;1;
Morelábor;Consultorio auxiliar;Número de centros;1;
Morelábor;TOTAL;Número de centros;2;
Motril;Centro de salud;Número de centros;3;
Motril;Consultorio local;Número de centros;3;
Motril;Consultorio auxiliar;Número de centros;1;
Motril;TOTAL;Número de centros;7;
Murtas;Centro de salud;Número de centros;-;
Murtas;Consultorio local;Número de centros;-;
Murtas;Consultorio auxiliar;Número de centros;2;
Murtas;TOTAL;Número de centros;2;
Nevada;Centro de salud;Número de centros;-;
Nevada;Consultorio local;Número de centros;1;
Nevada;Consultorio auxiliar;Número de centros;2;
Nevada;TOTAL;Número de centros;3;
Nigüelas;Centro de salud;Número de centros;-;
Nigüelas;Consultorio local;Número de centros;1;
Nigüelas;Consultorio auxiliar;Número de centros;-;
Nigüelas;TOTAL;Número de centros;1;
Nívar;Centro de salud;Número de centros;-;
Nívar;Consultorio local;Número de centros;-;
Nívar;Consultorio auxiliar;Número de centros;1;
Nívar;TOTAL;Número de centros;1;
Ogíjares;Centro de salud;Número de centros;-;
Ogíjares;Consultorio local;Número de centros;1;
Ogíjares;Consultorio auxiliar;Número de centros;-;
Ogíjares;TOTAL;Número de centros;1;
Orce;Centro de salud;Número de centros;-;
Orce;Consultorio local;Número de centros;1;
Orce;Consultorio auxiliar;Número de centros;-;
Orce;TOTAL;Número de centros;1;
Órgiva;Centro de salud;Número de centros;1;
Órgiva;Consultorio local;Número de centros;-;
Órgiva;Consultorio auxiliar;Número de centros;2;
Órgiva;TOTAL;Número de centros;3;
Otívar;Centro de salud;Número de centros;-;
Otívar;Consultorio local;Número de centros;-;
Otívar;Consultorio auxiliar;Número de centros;1;
Otívar;TOTAL;Número de centros;1;
Padul;Centro de salud;Número de centros;-;
Padul;Consultorio local;Número de centros;1;
Padul;Consultorio auxiliar;Número de centros;-;
Padul;TOTAL;Número de centros;1;
Pampaneira;Centro de salud;Número de centros;-;
Pampaneira;Consultorio local;Número de centros;-;
Pampaneira;Consultorio auxiliar;Número de centros;1;
Pampaneira;TOTAL;Número de centros;1;
Pedro Martínez;Centro de salud;Número de centros;1;
Pedro Martínez;Consultorio local;Número de centros;-;
Pedro Martínez;Consultorio auxiliar;Número de centros;-;
Pedro Martínez;TOTAL;Número de centros;1;
Peligros;Centro de salud;Número de centros;1;
Peligros;Consultorio local;Número de centros;-;
Peligros;Consultorio auxiliar;Número de centros;-;
Peligros;TOTAL;Número de centros;1;
Pinos Genil;Centro de salud;Número de centros;-;
Pinos Genil;Consultorio local;Número de centros;1;
Pinos Genil;Consultorio auxiliar;Número de centros;-;
Pinos Genil;TOTAL;Número de centros;1;
Pinos Puente;Centro de salud;Número de centros;1;
Pinos Puente;Consultorio local;Número de centros;2;
Pinos Puente;Consultorio auxiliar;Número de centros;2;
Pinos Puente;TOTAL;Número de centros;5;
Píñar;Centro de salud;Número de centros;-;
Píñar;Consultorio local;Número de centros;1;
Píñar;Consultorio auxiliar;Número de centros;1;
Píñar;TOTAL;Número de centros;2;
Polícar;Centro de salud;Número de centros;-;
Polícar;Consultorio local;Número de centros;-;
Polícar;Consultorio auxiliar;Número de centros;1;
Polícar;TOTAL;Número de centros;1;
Polopos;Centro de salud;Número de centros;-;
Polopos;Consultorio local;Número de centros;1;
Polopos;Consultorio auxiliar;Número de centros;1;
Polopos;TOTAL;Número de centros;2;
Pórtugos;Centro de salud;Número de centros;-;
Pórtugos;Consultorio local;Número de centros;-;
Pórtugos;Consultorio auxiliar;Número de centros;1;
Pórtugos;TOTAL;Número de centros;1;
Puebla de Don Fadrique;Centro de salud;Número de centros;-;
Puebla de Don Fadrique;Consultorio local;Número de centros;1;
Puebla de Don Fadrique;Consultorio auxiliar;Número de centros;1;
Puebla de Don Fadrique;TOTAL;Número de centros;2;
Pulianas;Centro de salud;Número de centros;-;
Pulianas;Consultorio local;Número de centros;1;
Pulianas;Consultorio auxiliar;Número de centros;-;
Pulianas;TOTAL;Número de centros;1;
Purullena;Centro de salud;Número de centros;1;
Purullena;Consultorio local;Número de centros;-;
Purullena;Consultorio auxiliar;Número de centros;1;
Purullena;TOTAL;Número de centros;2;
Quéntar;Centro de salud;Número de centros;-;
Quéntar;Consultorio local;Número de centros;1;
Quéntar;Consultorio auxiliar;Número de centros;1;
Quéntar;TOTAL;Número de centros;2;
Rubite;Centro de salud;Número de centros;-;
Rubite;Consultorio local;Número de centros;1;
Rubite;Consultorio auxiliar;Número de centros;-;
Rubite;TOTAL;Número de centros;1;
Salar;Centro de salud;Número de centros;-;
Salar;Consultorio local;Número de centros;1;
Salar;Consultorio auxiliar;Número de centros;-;
Salar;TOTAL;Número de centros;1;
Salobreña;Centro de salud;Número de centros;1;
Salobreña;Consultorio local;Número de centros;1;
Salobreña;Consultorio auxiliar;Número de centros;1;
Salobreña;TOTAL;Número de centros;3;
Santa Cruz del Comercio;Centro de salud;Número de centros;-;
Santa Cruz del Comercio;Consultorio local;Número de centros;1;
Santa Cruz del Comercio;Consultorio auxiliar;Número de centros;1;
Santa Cruz del Comercio;TOTAL;Número de centros;2;
Santa Fe;Centro de salud;Número de centros;1;
Santa Fe;Consultorio local;Número de centros;1;
Santa Fe;Consultorio auxiliar;Número de centros;1;
Santa Fe;TOTAL;Número de centros;3;
Soportújar;Centro de salud;Número de centros;-;
Soportújar;Consultorio local;Número de centros;-;
Soportújar;Consultorio auxiliar;Número de centros;1;
Soportújar;TOTAL;Número de centros;1;
Sorvilán;Centro de salud;Número de centros;-;
Sorvilán;Consultorio local;Número de centros;1;
Sorvilán;Consultorio auxiliar;Número de centros;2;
Sorvilán;TOTAL;Número de centros;3;
Torre-Cardela;Centro de salud;Número de centros;-;
Torre-Cardela;Consultorio local;Número de centros;1;
Torre-Cardela;Consultorio auxiliar;Número de centros;-;
Torre-Cardela;TOTAL;Número de centros;1;
Torrenueva Costa;Centro de salud;Número de centros;-;
Torrenueva Costa;Consultorio local;Número de centros;1;
Torrenueva Costa;Consultorio auxiliar;Número de centros;-;
Torrenueva Costa;TOTAL;Número de centros;1;
Torvizcón;Centro de salud;Número de centros;-;
Torvizcón;Consultorio local;Número de centros;1;
Torvizcón;Consultorio auxiliar;Número de centros;-;
Torvizcón;TOTAL;Número de centros;1;
Trevélez;Centro de salud;Número de centros;-;
Trevélez;Consultorio local;Número de centros;1;
Trevélez;Consultorio auxiliar;Número de centros;-;
Trevélez;TOTAL;Número de centros;1;
Turón;Centro de salud;Número de centros;-;
Turón;Consultorio local;Número de centros;1;
Turón;Consultorio auxiliar;Número de centros;-;
Turón;TOTAL;Número de centros;1;
Ugíjar;Centro de salud;Número de centros;1;
Ugíjar;Consultorio local;Número de centros;1;
Ugíjar;Consultorio auxiliar;Número de centros;1;
Ugíjar;TOTAL;Número de centros;3;
Valderrubio;Centro de salud;Número de centros;-;
Valderrubio;Consultorio local;Número de centros;1;
Valderrubio;Consultorio auxiliar;Número de centros;-;
Valderrubio;TOTAL;Número de centros;1;
Valle del Zalabí;Centro de salud;Número de centros;-;
Valle del Zalabí;Consultorio local;Número de centros;2;
Valle del Zalabí;Consultorio auxiliar;Número de centros;1;
Valle del Zalabí;TOTAL;Número de centros;3;
Válor;Centro de salud;Número de centros;-;
Válor;Consultorio local;Número de centros;1;
Válor;Consultorio auxiliar;Número de centros;2;
Válor;TOTAL;Número de centros;3;
Vegas del Genil;Centro de salud;Número de centros;-;
Vegas del Genil;Consultorio local;Número de centros;3;
Vegas del Genil;Consultorio auxiliar;Número de centros;-;
Vegas del Genil;TOTAL;Número de centros;3;
Vélez de Benaudalla;Centro de salud;Número de centros;-;
Vélez de Benaudalla;Consultorio local;Número de centros;1;
Vélez de Benaudalla;Consultorio auxiliar;Número de centros;-;
Vélez de Benaudalla;TOTAL;Número de centros;1;
Ventas de Huelma;Centro de salud;Número de centros;-;
Ventas de Huelma;Consultorio local;Número de centros;1;
Ventas de Huelma;Consultorio auxiliar;Número de centros;1;
Ventas de Huelma;TOTAL;Número de centros;2;
Villa de Otura;Centro de salud;Número de centros;-;
Villa de Otura;Consultorio local;Número de centros;1;
Villa de Otura;Consultorio auxiliar;Número de centros;-;
Villa de Otura;TOTAL;Número de centros;1;
Villamena;Centro de salud;Número de centros;-;
Villamena;Consultorio local;Número de centros;1;
Villamena;Consultorio auxiliar;Número de centros;1;
Villamena;TOTAL;Número de centros;2;
Villanueva de las Torres;Centro de salud;Número de centros;-;
Villanueva de las Torres;Consultorio local;Número de centros;1;
Villanueva de las Torres;Consultorio auxiliar;Número de centros;-;
Villanueva de las Torres;TOTAL;Número de centros;1;
Villanueva Mesía;Centro de salud;Número de centros;-;
Villanueva Mesía;Consultorio local;Número de centros;1;
Villanueva Mesía;Consultorio auxiliar;Número de centros;-;
Villanueva Mesía;TOTAL;Número de centros;1;
Víznar;Centro de salud;Número de centros;-;
Víznar;Consultorio local;Número de centros;1;
Víznar;Consultorio auxiliar;Número de centros;-;
Víznar;TOTAL;Número de centros;1;
Zafarraya;Centro de salud;Número de centros;-;
Zafarraya;Consultorio local;Número de centros;1;
Zafarraya;Consultorio auxiliar;Número de centros;-;
Zafarraya;TOTAL;Número de centros;1;
Zagra;Centro de salud;Número de centros;-;
Zagra;Consultorio local;Número de centros;1;
Zagra;Consultorio auxiliar;Número de centros;-;
Zagra;TOTAL;Número de centros;1;
Zújar;Centro de salud;Número de centros;-;
Zújar;Consultorio local;Número de centros;1;
Zújar;Consultorio auxiliar;Número de centros;-;
Zújar;TOTAL;Número de centros;1;
Huelva;Centro de salud;Número de centros;29;
Huelva;Consultorio local;Número de centros;64;
Huelva;Consultorio auxiliar;Número de centros;32;
Huelva;TOTAL;Número de centros;125;
Alájar;Centro de salud;Número de centros;-;
Alájar;Consultorio local;Número de centros;1;
Alájar;Consultorio auxiliar;Número de centros;-;
Alájar;TOTAL;Número de centros;1;
Aljaraque;Centro de salud;Número de centros;1;
Aljaraque;Consultorio local;Número de centros;2;
Aljaraque;Consultorio auxiliar;Número de centros;-;
Aljaraque;TOTAL;Número de centros;3;
Almonaster la Real;Centro de salud;Número de centros;-;
Almonaster la Real;Consultorio local;Número de centros;1;
Almonaster la Real;Consultorio auxiliar;Número de centros;5;
Almonaster la Real;TOTAL;Número de centros;6;
Almonte;Centro de salud;Número de centros;1;
Almonte;Consultorio local;Número de centros;2;
Almonte;Consultorio auxiliar;Número de centros;-;
Almonte;TOTAL;Número de centros;3;
Alosno;Centro de salud;Número de centros;-;
Alosno;Consultorio local;Número de centros;2;
Alosno;Consultorio auxiliar;Número de centros;-;
Alosno;TOTAL;Número de centros;2;
