Territorio;Edad;Sexo;Medida;Valor;
Fuente Vaqueros;De 16 a 64 años;Hombres;Población;1586;
Fuente Vaqueros;De 16 a 64 años;Mujeres;Población;1510;
Fuente Vaqueros;De 16 a 64 años;Ambos sexos;Población;3096;
Fuente Vaqueros;De 65 y más años;Hombres;Población;358;
Fuente Vaqueros;De 65 y más años;Mujeres;Población;456;
Fuente Vaqueros;De 65 y más años;Ambos sexos;Población;814;
Fuente Vaqueros;TOTAL;Hombres;Población;2318;
Fuente Vaqueros;TOTAL;Mujeres;Población;2315;
Fuente Vaqueros;TOTAL;Ambos sexos;Población;4633;
Galera;De 0 a 15 años;Hombres;Población;45;
Galera;De 0 a 15 años;Mujeres;Población;51;
Galera;De 0 a 15 años;Ambos sexos;Población;96;
Galera;De 16 a 64 años;Hombres;Población;334;
Galera;De 16 a 64 años;Mujeres;Población;315;
Galera;De 16 a 64 años;Ambos sexos;Población;649;
Galera;De 65 y más años;Hombres;Población;184;
Galera;De 65 y más años;Mujeres;Población;178;
Galera;De 65 y más años;Ambos sexos;Población;362;
Galera;TOTAL;Hombres;Población;563;
Galera;TOTAL;Mujeres;Población;544;
Galera;TOTAL;Ambos sexos;Población;1107;
Gobernador;De 0 a 15 años;Hombres;Población;13;
Gobernador;De 0 a 15 años;Mujeres;Población;9;
Gobernador;De 0 a 15 años;Ambos sexos;Población;22;
Gobernador;De 16 a 64 años;Hombres;Población;70;
Gobernador;De 16 a 64 años;Mujeres;Población;61;
Gobernador;De 16 a 64 años;Ambos sexos;Población;131;
Gobernador;De 65 y más años;Hombres;Población;38;
Gobernador;De 65 y más años;Mujeres;Población;48;
Gobernador;De 65 y más años;Ambos sexos;Población;86;
Gobernador;TOTAL;Hombres;Población;121;
Gobernador;TOTAL;Mujeres;Población;118;
Gobernador;TOTAL;Ambos sexos;Población;239;
Gójar;De 0 a 15 años;Hombres;Población;515;
Gójar;De 0 a 15 años;Mujeres;Población;501;
Gójar;De 0 a 15 años;Ambos sexos;Población;1016;
Gójar;De 16 a 64 años;Hombres;Población;2199;
Gójar;De 16 a 64 años;Mujeres;Población;2147;
Gójar;De 16 a 64 años;Ambos sexos;Población;4346;
Gójar;De 65 y más años;Hombres;Población;466;
Gójar;De 65 y más años;Mujeres;Población;506;
Gójar;De 65 y más años;Ambos sexos;Población;972;
Gójar;TOTAL;Hombres;Población;3180;
Gójar;TOTAL;Mujeres;Población;3154;
Gójar;TOTAL;Ambos sexos;Población;6334;
Gor;De 0 a 15 años;Hombres;Población;19;
Gor;De 0 a 15 años;Mujeres;Población;15;
Gor;De 0 a 15 años;Ambos sexos;Población;34;
Gor;De 16 a 64 años;Hombres;Población;248;
Gor;De 16 a 64 años;Mujeres;Población;211;
Gor;De 16 a 64 años;Ambos sexos;Población;459;
Gor;De 65 y más años;Hombres;Población;130;
Gor;De 65 y más años;Mujeres;Población;140;
Gor;De 65 y más años;Ambos sexos;Población;270;
Gor;TOTAL;Hombres;Población;397;
Gor;TOTAL;Mujeres;Población;366;
Gor;TOTAL;Ambos sexos;Población;763;
Gorafe;De 0 a 15 años;Hombres;Población;12;
Gorafe;De 0 a 15 años;Mujeres;Población;11;
Gorafe;De 0 a 15 años;Ambos sexos;Población;23;
Gorafe;De 16 a 64 años;Hombres;Población;117;
Gorafe;De 16 a 64 años;Mujeres;Población;97;
Gorafe;De 16 a 64 años;Ambos sexos;Población;214;
Gorafe;De 65 y más años;Hombres;Población;67;
Gorafe;De 65 y más años;Mujeres;Población;68;
Gorafe;De 65 y más años;Ambos sexos;Población;135;
Gorafe;TOTAL;Hombres;Población;196;
Gorafe;TOTAL;Mujeres;Población;176;
Gorafe;TOTAL;Ambos sexos;Población;372;
Granada (capital);De 0 a 15 años;Hombres;Población;16260;
Granada (capital);De 0 a 15 años;Mujeres;Población;15274;
Granada (capital);De 0 a 15 años;Ambos sexos;Población;31534;
Granada (capital);De 16 a 64 años;Hombres;Población;69979;
Granada (capital);De 16 a 64 años;Mujeres;Población;77190;
Granada (capital);De 16 a 64 años;Ambos sexos;Población;147169;
Granada (capital);De 65 y más años;Hombres;Población;21673;
Granada (capital);De 65 y más años;Mujeres;Población;33156;
Granada (capital);De 65 y más años;Ambos sexos;Población;54829;
Granada (capital);TOTAL;Hombres;Población;107912;
Granada (capital);TOTAL;Mujeres;Población;125620;
Granada (capital);TOTAL;Ambos sexos;Población;233532;
Guadahortuna;De 0 a 15 años;Hombres;Población;169;
Guadahortuna;De 0 a 15 años;Mujeres;Población;180;
Guadahortuna;De 0 a 15 años;Ambos sexos;Población;349;
Guadahortuna;De 16 a 64 años;Hombres;Población;605;
Guadahortuna;De 16 a 64 años;Mujeres;Población;551;
Guadahortuna;De 16 a 64 años;Ambos sexos;Población;1156;
Guadahortuna;De 65 y más años;Hombres;Población;161;
Guadahortuna;De 65 y más años;Mujeres;Población;180;
Guadahortuna;De 65 y más años;Ambos sexos;Población;341;
Guadahortuna;TOTAL;Hombres;Población;935;
Guadahortuna;TOTAL;Mujeres;Población;911;
Guadahortuna;TOTAL;Ambos sexos;Población;1846;
Guadix;De 0 a 15 años;Hombres;Población;1436;
Guadix;De 0 a 15 años;Mujeres;Población;1385;
Guadix;De 0 a 15 años;Ambos sexos;Población;2821;
Guadix;De 16 a 64 años;Hombres;Población;6185;
Guadix;De 16 a 64 años;Mujeres;Población;5997;
Guadix;De 16 a 64 años;Ambos sexos;Población;12182;
Guadix;De 65 y más años;Hombres;Población;1680;
Guadix;De 65 y más años;Mujeres;Población;2046;
Guadix;De 65 y más años;Ambos sexos;Población;3726;
Guadix;TOTAL;Hombres;Población;9301;
Guadix;TOTAL;Mujeres;Población;9428;
Guadix;TOTAL;Ambos sexos;Población;18729;
Gualchos;De 0 a 15 años;Hombres;Población;469;
Gualchos;De 0 a 15 años;Mujeres;Población;425;
Gualchos;De 0 a 15 años;Ambos sexos;Población;894;
Gualchos;De 16 a 64 años;Hombres;Población;1919;
Gualchos;De 16 a 64 años;Mujeres;Población;1639;
Gualchos;De 16 a 64 años;Ambos sexos;Población;3558;
Gualchos;De 65 y más años;Hombres;Población;400;
Gualchos;De 65 y más años;Mujeres;Población;445;
Gualchos;De 65 y más años;Ambos sexos;Población;845;
Gualchos;TOTAL;Hombres;Población;2788;
Gualchos;TOTAL;Mujeres;Población;2509;
Gualchos;TOTAL;Ambos sexos;Población;5297;
Güéjar Sierra;De 0 a 15 años;Hombres;Población;182;
Güéjar Sierra;De 0 a 15 años;Mujeres;Población;161;
Güéjar Sierra;De 0 a 15 años;Ambos sexos;Población;343;
Güéjar Sierra;De 16 a 64 años;Hombres;Población;1106;
Güéjar Sierra;De 16 a 64 años;Mujeres;Población;944;
Güéjar Sierra;De 16 a 64 años;Ambos sexos;Población;2050;
Güéjar Sierra;De 65 y más años;Hombres;Población;276;
Güéjar Sierra;De 65 y más años;Mujeres;Población;275;
Güéjar Sierra;De 65 y más años;Ambos sexos;Población;551;
Güéjar Sierra;TOTAL;Hombres;Población;1564;
Güéjar Sierra;TOTAL;Mujeres;Población;1380;
Güéjar Sierra;TOTAL;Ambos sexos;Población;2944;
Güevéjar;De 0 a 15 años;Hombres;Población;250;
Güevéjar;De 0 a 15 años;Mujeres;Población;216;
Güevéjar;De 0 a 15 años;Ambos sexos;Población;466;
Güevéjar;De 16 a 64 años;Hombres;Población;962;
Güevéjar;De 16 a 64 años;Mujeres;Población;890;
Güevéjar;De 16 a 64 años;Ambos sexos;Población;1852;
Güevéjar;De 65 y más años;Hombres;Población;179;
Güevéjar;De 65 y más años;Mujeres;Población;196;
Güevéjar;De 65 y más años;Ambos sexos;Población;375;
Güevéjar;TOTAL;Hombres;Población;1391;
Güevéjar;TOTAL;Mujeres;Población;1302;
Güevéjar;TOTAL;Ambos sexos;Población;2693;
Huélago;De 0 a 15 años;Hombres;Población;24;
Huélago;De 0 a 15 años;Mujeres;Población;28;
Huélago;De 0 a 15 años;Ambos sexos;Población;52;
Huélago;De 16 a 64 años;Hombres;Población;138;
Huélago;De 16 a 64 años;Mujeres;Población;110;
Huélago;De 16 a 64 años;Ambos sexos;Población;248;
Huélago;De 65 y más años;Hombres;Población;35;
Huélago;De 65 y más años;Mujeres;Población;36;
Huélago;De 65 y más años;Ambos sexos;Población;71;
Huélago;TOTAL;Hombres;Población;197;
Huélago;TOTAL;Mujeres;Población;174;
Huélago;TOTAL;Ambos sexos;Población;371;
Huéneja;De 0 a 15 años;Hombres;Población;79;
Huéneja;De 0 a 15 años;Mujeres;Población;54;
Huéneja;De 0 a 15 años;Ambos sexos;Población;133;
Huéneja;De 16 a 64 años;Hombres;Población;433;
Huéneja;De 16 a 64 años;Mujeres;Población;338;
Huéneja;De 16 a 64 años;Ambos sexos;Población;771;
Huéneja;De 65 y más años;Hombres;Población;133;
Huéneja;De 65 y más años;Mujeres;Población;152;
Huéneja;De 65 y más años;Ambos sexos;Población;285;
Huéneja;TOTAL;Hombres;Población;645;
Huéneja;TOTAL;Mujeres;Población;544;
Huéneja;TOTAL;Ambos sexos;Población;1189;
Huéscar;De 0 a 15 años;Hombres;Población;429;
Huéscar;De 0 a 15 años;Mujeres;Población;464;
Huéscar;De 0 a 15 años;Ambos sexos;Población;893;
Huéscar;De 16 a 64 años;Hombres;Población;2356;
Huéscar;De 16 a 64 años;Mujeres;Población;2265;
Huéscar;De 16 a 64 años;Ambos sexos;Población;4621;
Huéscar;De 65 y más años;Hombres;Población;798;
Huéscar;De 65 y más años;Mujeres;Población;920;
Huéscar;De 65 y más años;Ambos sexos;Población;1718;
Huéscar;TOTAL;Hombres;Población;3583;
Huéscar;TOTAL;Mujeres;Población;3649;
Huéscar;TOTAL;Ambos sexos;Población;7232;
Huétor de Santillán;De 0 a 15 años;Hombres;Población;125;
Huétor de Santillán;De 0 a 15 años;Mujeres;Población;112;
Huétor de Santillán;De 0 a 15 años;Ambos sexos;Población;237;
Huétor de Santillán;De 16 a 64 años;Hombres;Población;698;
Huétor de Santillán;De 16 a 64 años;Mujeres;Población;649;
Huétor de Santillán;De 16 a 64 años;Ambos sexos;Población;1347;
Huétor de Santillán;De 65 y más años;Hombres;Población;179;
Huétor de Santillán;De 65 y más años;Mujeres;Población;181;
Huétor de Santillán;De 65 y más años;Ambos sexos;Población;360;
Huétor de Santillán;TOTAL;Hombres;Población;1002;
Huétor de Santillán;TOTAL;Mujeres;Población;942;
Huétor de Santillán;TOTAL;Ambos sexos;Población;1944;
Huétor Tájar;De 0 a 15 años;Hombres;Población;864;
Huétor Tájar;De 0 a 15 años;Mujeres;Población;796;
Huétor Tájar;De 0 a 15 años;Ambos sexos;Población;1660;
Huétor Tájar;De 16 a 64 años;Hombres;Población;3729;
Huétor Tájar;De 16 a 64 años;Mujeres;Población;3552;
Huétor Tájar;De 16 a 64 años;Ambos sexos;Población;7281;
Huétor Tájar;De 65 y más años;Hombres;Población;768;
Huétor Tájar;De 65 y más años;Mujeres;Población;961;
Huétor Tájar;De 65 y más años;Ambos sexos;Población;1729;
Huétor Tájar;TOTAL;Hombres;Población;5361;
Huétor Tájar;TOTAL;Mujeres;Población;5309;
Huétor Tájar;TOTAL;Ambos sexos;Población;10670;
Huétor Vega;De 0 a 15 años;Hombres;Población;949;
Huétor Vega;De 0 a 15 años;Mujeres;Población;832;
Huétor Vega;De 0 a 15 años;Ambos sexos;Población;1781;
Huétor Vega;De 16 a 64 años;Hombres;Población;4235;
Huétor Vega;De 16 a 64 años;Mujeres;Población;4285;
Huétor Vega;De 16 a 64 años;Ambos sexos;Población;8520;
Huétor Vega;De 65 y más años;Hombres;Población;932;
Huétor Vega;De 65 y más años;Mujeres;Población;1046;
Huétor Vega;De 65 y más años;Ambos sexos;Población;1978;
Huétor Vega;TOTAL;Hombres;Población;6116;
Huétor Vega;TOTAL;Mujeres;Población;6163;
Huétor Vega;TOTAL;Ambos sexos;Población;12279;
Íllora;De 0 a 15 años;Hombres;Población;687;
Íllora;De 0 a 15 años;Mujeres;Población;624;
Íllora;De 0 a 15 años;Ambos sexos;Población;1311;
Íllora;De 16 a 64 años;Hombres;Población;3325;
Íllora;De 16 a 64 años;Mujeres;Población;3110;
Íllora;De 16 a 64 años;Ambos sexos;Población;6435;
Íllora;De 65 y más años;Hombres;Población;994;
Íllora;De 65 y más años;Mujeres;Población;1168;
Íllora;De 65 y más años;Ambos sexos;Población;2162;
Íllora;TOTAL;Hombres;Población;5006;
Íllora;TOTAL;Mujeres;Población;4902;
Íllora;TOTAL;Ambos sexos;Población;9908;
Ítrabo;De 0 a 15 años;Hombres;Población;66;
Ítrabo;De 0 a 15 años;Mujeres;Población;55;
Ítrabo;De 0 a 15 años;Ambos sexos;Población;121;
Ítrabo;De 16 a 64 años;Hombres;Población;330;
Ítrabo;De 16 a 64 años;Mujeres;Población;323;
Ítrabo;De 16 a 64 años;Ambos sexos;Población;653;
Ítrabo;De 65 y más años;Hombres;Población;110;
Ítrabo;De 65 y más años;Mujeres;Población;110;
Ítrabo;De 65 y más años;Ambos sexos;Población;220;
Ítrabo;TOTAL;Hombres;Población;506;
Ítrabo;TOTAL;Mujeres;Población;488;
Ítrabo;TOTAL;Ambos sexos;Población;994;
Iznalloz;De 0 a 15 años;Hombres;Población;535;
Iznalloz;De 0 a 15 años;Mujeres;Población;518;
Iznalloz;De 0 a 15 años;Ambos sexos;Población;1053;
Iznalloz;De 16 a 64 años;Hombres;Población;1690;
Iznalloz;De 16 a 64 años;Mujeres;Población;1600;
Iznalloz;De 16 a 64 años;Ambos sexos;Población;3290;
Iznalloz;De 65 y más años;Hombres;Población;400;
Iznalloz;De 65 y más años;Mujeres;Población;429;
Iznalloz;De 65 y más años;Ambos sexos;Población;829;
Iznalloz;TOTAL;Hombres;Población;2625;
Iznalloz;TOTAL;Mujeres;Población;2547;
Iznalloz;TOTAL;Ambos sexos;Población;5172;
Játar;De 0 a 15 años;Hombres;Población;33;
Játar;De 0 a 15 años;Mujeres;Población;43;
Játar;De 0 a 15 años;Ambos sexos;Población;76;
Játar;De 16 a 64 años;Hombres;Población;249;
Játar;De 16 a 64 años;Mujeres;Población;182;
Játar;De 16 a 64 años;Ambos sexos;Población;431;
Játar;De 65 y más años;Hombres;Población;49;
Játar;De 65 y más años;Mujeres;Población;60;
Játar;De 65 y más años;Ambos sexos;Población;109;
Játar;TOTAL;Hombres;Población;331;
Játar;TOTAL;Mujeres;Población;285;
Játar;TOTAL;Ambos sexos;Población;616;
Jayena;De 0 a 15 años;Hombres;Población;42;
Jayena;De 0 a 15 años;Mujeres;Población;47;
Jayena;De 0 a 15 años;Ambos sexos;Población;89;
Jayena;De 16 a 64 años;Hombres;Población;374;
Jayena;De 16 a 64 años;Mujeres;Población;292;
Jayena;De 16 a 64 años;Ambos sexos;Población;666;
Jayena;De 65 y más años;Hombres;Población;107;
Jayena;De 65 y más años;Mujeres;Población;134;
Jayena;De 65 y más años;Ambos sexos;Población;241;
Jayena;TOTAL;Hombres;Población;523;
Jayena;TOTAL;Mujeres;Población;473;
Jayena;TOTAL;Ambos sexos;Población;996;
Jérez del Marquesado;De 0 a 15 años;Hombres;Población;39;
Jérez del Marquesado;De 0 a 15 años;Mujeres;Población;50;
Jérez del Marquesado;De 0 a 15 años;Ambos sexos;Población;89;
Jérez del Marquesado;De 16 a 64 años;Hombres;Población;316;
Jérez del Marquesado;De 16 a 64 años;Mujeres;Población;288;
Jérez del Marquesado;De 16 a 64 años;Ambos sexos;Población;604;
Jérez del Marquesado;De 65 y más años;Hombres;Población;150;
Jérez del Marquesado;De 65 y más años;Mujeres;Población;139;
Jérez del Marquesado;De 65 y más años;Ambos sexos;Población;289;
Jérez del Marquesado;TOTAL;Hombres;Población;505;
Jérez del Marquesado;TOTAL;Mujeres;Población;477;
Jérez del Marquesado;TOTAL;Ambos sexos;Población;982;
Jete;De 0 a 15 años;Hombres;Población;34;
Jete;De 0 a 15 años;Mujeres;Población;53;
Jete;De 0 a 15 años;Ambos sexos;Población;87;
Jete;De 16 a 64 años;Hombres;Población;399;
Jete;De 16 a 64 años;Mujeres;Población;316;
Jete;De 16 a 64 años;Ambos sexos;Población;715;
Jete;De 65 y más años;Hombres;Población;94;
Jete;De 65 y más años;Mujeres;Población;100;
Jete;De 65 y más años;Ambos sexos;Población;194;
Jete;TOTAL;Hombres;Población;527;
Jete;TOTAL;Mujeres;Población;469;
Jete;TOTAL;Ambos sexos;Población;996;
Jun;De 0 a 15 años;Hombres;Población;414;
Jun;De 0 a 15 años;Mujeres;Población;415;
Jun;De 0 a 15 años;Ambos sexos;Población;829;
Jun;De 16 a 64 años;Hombres;Población;1459;
Jun;De 16 a 64 años;Mujeres;Población;1397;
Jun;De 16 a 64 años;Ambos sexos;Población;2856;
Jun;De 65 y más años;Hombres;Población;254;
Jun;De 65 y más años;Mujeres;Población;235;
Jun;De 65 y más años;Ambos sexos;Población;489;
Jun;TOTAL;Hombres;Población;2127;
Jun;TOTAL;Mujeres;Población;2047;
Jun;TOTAL;Ambos sexos;Población;4174;
Juviles;De 0 a 15 años;Hombres;Población;10;
Juviles;De 0 a 15 años;Mujeres;Población;8;
Juviles;De 0 a 15 años;Ambos sexos;Población;18;
Juviles;De 16 a 64 años;Hombres;Población;47;
Juviles;De 16 a 64 años;Mujeres;Población;44;
Juviles;De 16 a 64 años;Ambos sexos;Población;91;
Juviles;De 65 y más años;Hombres;Población;18;
Juviles;De 65 y más años;Mujeres;Población;21;
Juviles;De 65 y más años;Ambos sexos;Población;39;
Juviles;TOTAL;Hombres;Población;75;
Juviles;TOTAL;Mujeres;Población;73;
Juviles;TOTAL;Ambos sexos;Población;148;
La Calahorra;De 0 a 15 años;Hombres;Población;36;
La Calahorra;De 0 a 15 años;Mujeres;Población;29;
La Calahorra;De 0 a 15 años;Ambos sexos;Población;65;
La Calahorra;De 16 a 64 años;Hombres;Población;223;
La Calahorra;De 16 a 64 años;Mujeres;Población;198;
La Calahorra;De 16 a 64 años;Ambos sexos;Población;421;
La Calahorra;De 65 y más años;Hombres;Población;90;
La Calahorra;De 65 y más años;Mujeres;Población;102;
La Calahorra;De 65 y más años;Ambos sexos;Población;192;
La Calahorra;TOTAL;Hombres;Población;349;
La Calahorra;TOTAL;Mujeres;Población;329;
La Calahorra;TOTAL;Ambos sexos;Población;678;
La Malahá;De 0 a 15 años;Hombres;Población;147;
La Malahá;De 0 a 15 años;Mujeres;Población;134;
La Malahá;De 0 a 15 años;Ambos sexos;Población;281;
La Malahá;De 16 a 64 años;Hombres;Población;656;
La Malahá;De 16 a 64 años;Mujeres;Población;598;
La Malahá;De 16 a 64 años;Ambos sexos;Población;1254;
La Malahá;De 65 y más años;Hombres;Población;154;
La Malahá;De 65 y más años;Mujeres;Población;192;
La Malahá;De 65 y más años;Ambos sexos;Población;346;
La Malahá;TOTAL;Hombres;Población;957;
La Malahá;TOTAL;Mujeres;Población;924;
La Malahá;TOTAL;Ambos sexos;Población;1881;
La Peza;De 0 a 15 años;Hombres;Población;71;
La Peza;De 0 a 15 años;Mujeres;Población;80;
La Peza;De 0 a 15 años;Ambos sexos;Población;151;
La Peza;De 16 a 64 años;Hombres;Población;369;
La Peza;De 16 a 64 años;Mujeres;Población;325;
La Peza;De 16 a 64 años;Ambos sexos;Población;694;
La Peza;De 65 y más años;Hombres;Población;128;
La Peza;De 65 y más años;Mujeres;Población;141;
La Peza;De 65 y más años;Ambos sexos;Población;269;
La Peza;TOTAL;Hombres;Población;568;
La Peza;TOTAL;Mujeres;Población;546;
La Peza;TOTAL;Ambos sexos;Población;1114;
La Taha;De 0 a 15 años;Hombres;Población;53;
La Taha;De 0 a 15 años;Mujeres;Población;36;
La Taha;De 0 a 15 años;Ambos sexos;Población;89;
La Taha;De 16 a 64 años;Hombres;Población;233;
La Taha;De 16 a 64 años;Mujeres;Población;236;
La Taha;De 16 a 64 años;Ambos sexos;Población;469;
La Taha;De 65 y más años;Hombres;Población;109;
La Taha;De 65 y más años;Mujeres;Población;122;
La Taha;De 65 y más años;Ambos sexos;Población;231;
La Taha;TOTAL;Hombres;Población;395;
La Taha;TOTAL;Mujeres;Población;394;
La Taha;TOTAL;Ambos sexos;Población;789;
La Zubia;De 0 a 15 años;Hombres;Población;1579;
La Zubia;De 0 a 15 años;Mujeres;Población;1408;
La Zubia;De 0 a 15 años;Ambos sexos;Población;2987;
La Zubia;De 16 a 64 años;Hombres;Población;6849;
La Zubia;De 16 a 64 años;Mujeres;Población;7046;
La Zubia;De 16 a 64 años;Ambos sexos;Población;13895;
La Zubia;De 65 y más años;Hombres;Población;1448;
La Zubia;De 65 y más años;Mujeres;Población;1747;
La Zubia;De 65 y más años;Ambos sexos;Población;3195;
La Zubia;TOTAL;Hombres;Población;9876;
La Zubia;TOTAL;Mujeres;Población;10201;
La Zubia;TOTAL;Ambos sexos;Población;20077;
Láchar;De 0 a 15 años;Hombres;Población;334;
Láchar;De 0 a 15 años;Mujeres;Población;318;
Láchar;De 0 a 15 años;Ambos sexos;Población;652;
Láchar;De 16 a 64 años;Hombres;Población;1320;
Láchar;De 16 a 64 años;Mujeres;Población;1271;
Láchar;De 16 a 64 años;Ambos sexos;Población;2591;
Láchar;De 65 y más años;Hombres;Población;286;
Láchar;De 65 y más años;Mujeres;Población;276;
Láchar;De 65 y más años;Ambos sexos;Población;562;
Láchar;TOTAL;Hombres;Población;1940;
Láchar;TOTAL;Mujeres;Población;1865;
Láchar;TOTAL;Ambos sexos;Población;3805;
Lanjarón;De 0 a 15 años;Hombres;Población;236;
Lanjarón;De 0 a 15 años;Mujeres;Población;181;
Lanjarón;De 0 a 15 años;Ambos sexos;Población;417;
Lanjarón;De 16 a 64 años;Hombres;Población;1208;
Lanjarón;De 16 a 64 años;Mujeres;Población;1179;
Lanjarón;De 16 a 64 años;Ambos sexos;Población;2387;
Lanjarón;De 65 y más años;Hombres;Población;402;
Lanjarón;De 65 y más años;Mujeres;Población;472;
Lanjarón;De 65 y más años;Ambos sexos;Población;874;
Lanjarón;TOTAL;Hombres;Población;1846;
Lanjarón;TOTAL;Mujeres;Población;1832;
Lanjarón;TOTAL;Ambos sexos;Población;3678;
Lanteira;De 0 a 15 años;Hombres;Población;29;
Lanteira;De 0 a 15 años;Mujeres;Población;22;
Lanteira;De 0 a 15 años;Ambos sexos;Población;51;
Lanteira;De 16 a 64 años;Hombres;Población;180;
Lanteira;De 16 a 64 años;Mujeres;Población;154;
Lanteira;De 16 a 64 años;Ambos sexos;Población;334;
Lanteira;De 65 y más años;Hombres;Población;77;
Lanteira;De 65 y más años;Mujeres;Población;82;
Lanteira;De 65 y más años;Ambos sexos;Población;159;
Lanteira;TOTAL;Hombres;Población;286;
Lanteira;TOTAL;Mujeres;Población;258;
Lanteira;TOTAL;Ambos sexos;Población;544;
Las Gabias;De 0 a 15 años;Hombres;Población;2128;
Las Gabias;De 0 a 15 años;Mujeres;Población;2000;
Las Gabias;De 0 a 15 años;Ambos sexos;Población;4128;
Las Gabias;De 16 a 64 años;Hombres;Población;8483;
Las Gabias;De 16 a 64 años;Mujeres;Población;8273;
Las Gabias;De 16 a 64 años;Ambos sexos;Población;16756;
Las Gabias;De 65 y más años;Hombres;Población;1238;
Las Gabias;De 65 y más años;Mujeres;Población;1370;
Las Gabias;De 65 y más años;Ambos sexos;Población;2608;
Las Gabias;TOTAL;Hombres;Población;11849;
Las Gabias;TOTAL;Mujeres;Población;11643;
Las Gabias;TOTAL;Ambos sexos;Población;23492;
Lecrín;De 0 a 15 años;Hombres;Población;115;
Lecrín;De 0 a 15 años;Mujeres;Población;122;
Lecrín;De 0 a 15 años;Ambos sexos;Población;237;
Lecrín;De 16 a 64 años;Hombres;Población;761;
Lecrín;De 16 a 64 años;Mujeres;Población;670;
Lecrín;De 16 a 64 años;Ambos sexos;Población;1431;
Lecrín;De 65 y más años;Hombres;Población;280;
Lecrín;De 65 y más años;Mujeres;Población;326;
Lecrín;De 65 y más años;Ambos sexos;Población;606;
Lecrín;TOTAL;Hombres;Población;1156;
Lecrín;TOTAL;Mujeres;Población;1118;
Lecrín;TOTAL;Ambos sexos;Población;2274;
Lentegí;De 0 a 15 años;Hombres;Población;21;
Lentegí;De 0 a 15 años;Mujeres;Población;19;
Lentegí;De 0 a 15 años;Ambos sexos;Población;40;
Lentegí;De 16 a 64 años;Hombres;Población;111;
Lentegí;De 16 a 64 años;Mujeres;Población;106;
Lentegí;De 16 a 64 años;Ambos sexos;Población;217;
Lentegí;De 65 y más años;Hombres;Población;51;
Lentegí;De 65 y más años;Mujeres;Población;45;
Lentegí;De 65 y más años;Ambos sexos;Población;96;
Lentegí;TOTAL;Hombres;Población;183;
Lentegí;TOTAL;Mujeres;Población;170;
Lentegí;TOTAL;Ambos sexos;Población;353;
Lobras;De 0 a 15 años;Hombres;Población;2;
Lobras;De 0 a 15 años;Mujeres;Población;1;
Lobras;De 0 a 15 años;Ambos sexos;Población;3;
Lobras;De 16 a 64 años;Hombres;Población;51;
Lobras;De 16 a 64 años;Mujeres;Población;47;
Lobras;De 16 a 64 años;Ambos sexos;Población;98;
Lobras;De 65 y más años;Hombres;Población;16;
Lobras;De 65 y más años;Mujeres;Población;19;
Lobras;De 65 y más años;Ambos sexos;Población;35;
Lobras;TOTAL;Hombres;Población;69;
Lobras;TOTAL;Mujeres;Población;67;
Lobras;TOTAL;Ambos sexos;Población;136;
Loja;De 0 a 15 años;Hombres;Población;1661;
Loja;De 0 a 15 años;Mujeres;Población;1604;
Loja;De 0 a 15 años;Ambos sexos;Población;3265;
Loja;De 16 a 64 años;Hombres;Población;6904;
Loja;De 16 a 64 años;Mujeres;Población;6699;
Loja;De 16 a 64 años;Ambos sexos;Población;13603;
Loja;De 65 y más años;Hombres;Población;1792;
Loja;De 65 y más años;Mujeres;Población;2154;
Loja;De 65 y más años;Ambos sexos;Población;3946;
Loja;TOTAL;Hombres;Población;10357;
Loja;TOTAL;Mujeres;Población;10457;
Loja;TOTAL;Ambos sexos;Población;20814;
Los Guájares;De 0 a 15 años;Hombres;Población;37;
Los Guájares;De 0 a 15 años;Mujeres;Población;40;
Los Guájares;De 0 a 15 años;Ambos sexos;Población;77;
Los Guájares;De 16 a 64 años;Hombres;Población;409;
Los Guájares;De 16 a 64 años;Mujeres;Población;299;
Los Guájares;De 16 a 64 años;Ambos sexos;Población;708;
Los Guájares;De 65 y más años;Hombres;Población;170;
Los Guájares;De 65 y más años;Mujeres;Población;181;
Los Guájares;De 65 y más años;Ambos sexos;Población;351;
Los Guájares;TOTAL;Hombres;Población;616;
Los Guájares;TOTAL;Mujeres;Población;520;
Los Guájares;TOTAL;Ambos sexos;Población;1136;
Lugros;De 0 a 15 años;Hombres;Población;14;
Lugros;De 0 a 15 años;Mujeres;Población;13;
Lugros;De 0 a 15 años;Ambos sexos;Población;27;
Lugros;De 16 a 64 años;Hombres;Población;96;
Lugros;De 16 a 64 años;Mujeres;Población;79;
Lugros;De 16 a 64 años;Ambos sexos;Población;175;
Lugros;De 65 y más años;Hombres;Población;51;
Lugros;De 65 y más años;Mujeres;Población;58;
Lugros;De 65 y más años;Ambos sexos;Población;109;
Lugros;TOTAL;Hombres;Población;161;
Lugros;TOTAL;Mujeres;Población;150;
Lugros;TOTAL;Ambos sexos;Población;311;
Lújar;De 0 a 15 años;Hombres;Población;21;
Lújar;De 0 a 15 años;Mujeres;Población;23;
Lújar;De 0 a 15 años;Ambos sexos;Población;44;
Lújar;De 16 a 64 años;Hombres;Población;184;
Lújar;De 16 a 64 años;Mujeres;Población;135;
Lújar;De 16 a 64 años;Ambos sexos;Población;319;
Lújar;De 65 y más años;Hombres;Población;60;
Lújar;De 65 y más años;Mujeres;Población;70;
Lújar;De 65 y más años;Ambos sexos;Población;130;
Lújar;TOTAL;Hombres;Población;265;
