Territorio;Sexo;Medida;Valor;
Diseminado de María;Ambos sexos;Población;44;
Diseminado de María;Hombres;Población;17;
Diseminado de María;Mujeres;Población;27;
Mojácar;Ambos sexos;Población;7455;
Mojácar;Hombres;Población;3657;
Mojácar;Mujeres;Población;3798;
E. singular El Agua del Medio-Sopalmo;Ambos sexos;Población;125;
E. singular El Agua del Medio-Sopalmo;Hombres;Población;61;
E. singular El Agua del Medio-Sopalmo;Mujeres;Población;64;
Núcleo Agua Enmedio;Ambos sexos;Población;35;
Núcleo Agua Enmedio;Hombres;Población;15;
Núcleo Agua Enmedio;Mujeres;Población;20;
Núcleo El Sopalmo;Ambos sexos;Población;48;
Núcleo El Sopalmo;Hombres;Población;25;
Núcleo El Sopalmo;Mujeres;Población;23;
Núcleo Jacís;Ambos sexos;Población;4;
Núcleo Jacís;Hombres;Población;2;
Núcleo Jacís;Mujeres;Población;2;
Diseminado de El Agua del Medio-Sopalmo;Ambos sexos;Población;38;
Diseminado de El Agua del Medio-Sopalmo;Hombres;Población;19;
Diseminado de El Agua del Medio-Sopalmo;Mujeres;Población;19;
E. singular La Alcantarilla;Ambos sexos;Población;141;
E. singular La Alcantarilla;Hombres;Población;74;
E. singular La Alcantarilla;Mujeres;Población;67;
Núcleo La Alcantarilla;Ambos sexos;Población;6;
Núcleo La Alcantarilla;Hombres;Población;3;
Núcleo La Alcantarilla;Mujeres;Población;3;
Núcleo Micar;Ambos sexos;Población;39;
Núcleo Micar;Hombres;Población;18;
Núcleo Micar;Mujeres;Población;21;
Diseminado de La Alcantarilla;Ambos sexos;Población;96;
Diseminado de La Alcantarilla;Hombres;Población;53;
Diseminado de La Alcantarilla;Mujeres;Población;43;
E. singular Las Alparatas;Ambos sexos;Población;61;
E. singular Las Alparatas;Hombres;Población;35;
E. singular Las Alparatas;Mujeres;Población;26;
Núcleo Las Alparatas;Ambos sexos;Población;41;
Núcleo Las Alparatas;Hombres;Población;25;
Núcleo Las Alparatas;Mujeres;Población;16;
Diseminado de Las Alparatas;Ambos sexos;Población;20;
Diseminado de Las Alparatas;Hombres;Población;10;
Diseminado de Las Alparatas;Mujeres;Población;10;
E. singular Las Cuartillas;Ambos sexos;Población;28;
E. singular Las Cuartillas;Hombres;Población;14;
E. singular Las Cuartillas;Mujeres;Población;14;
Núcleo Las Cuartillas;Ambos sexos;Población;17;
Núcleo Las Cuartillas;Hombres;Población;8;
Núcleo Las Cuartillas;Mujeres;Población;9;
Diseminado de Las Cuartillas;Ambos sexos;Población;11;
Diseminado de Las Cuartillas;Hombres;Población;6;
Diseminado de Las Cuartillas;Mujeres;Población;5;
E. singular Mojácar;Ambos sexos;Población;1570;
E. singular Mojácar;Hombres;Población;764;
E. singular Mojácar;Mujeres;Población;806;
Núcleo Los Gurullos;Ambos sexos;Población;10;
Núcleo Los Gurullos;Hombres;Población;4;
Núcleo Los Gurullos;Mujeres;Población;6;
Núcleo Mojácar;Ambos sexos;Población;1374;
Núcleo Mojácar;Hombres;Población;664;
Núcleo Mojácar;Mujeres;Población;710;
Diseminado de Mojácar;Ambos sexos;Población;186;
Diseminado de Mojácar;Hombres;Población;96;
Diseminado de Mojácar;Mujeres;Población;90;
E. singular Mojácar Playa;Ambos sexos;Población;5530;
E. singular Mojácar Playa;Hombres;Población;2709;
E. singular Mojácar Playa;Mujeres;Población;2821;
Núcleo Cueva Negra;Ambos sexos;Población;3;
Núcleo Cueva Negra;Hombres;Población;3;
Núcleo Cueva Negra;Mujeres;Población;-;
Núcleo La Parata;Ambos sexos;Población;158;
Núcleo La Parata;Hombres;Población;80;
Núcleo La Parata;Mujeres;Población;78;
Núcleo Lotazar;Ambos sexos;Población;11;
Núcleo Lotazar;Hombres;Población;5;
Núcleo Lotazar;Mujeres;Población;6;
Núcleo Macenas;Ambos sexos;Población;116;
Núcleo Macenas;Hombres;Población;54;
Núcleo Macenas;Mujeres;Población;62;
Núcleo Marina de la Torre;Ambos sexos;Población;737;
Núcleo Marina de la Torre;Hombres;Población;367;
Núcleo Marina de la Torre;Mujeres;Población;370;
Núcleo Ventanicas-El Cantal;Ambos sexos;Población;2051;
Núcleo Ventanicas-El Cantal;Hombres;Población;1020;
Núcleo Ventanicas-El Cantal;Mujeres;Población;1031;
Núcleo Vista de los Ángeles-Rumina;Ambos sexos;Población;2345;
Núcleo Vista de los Ángeles-Rumina;Hombres;Población;1126;
Núcleo Vista de los Ángeles-Rumina;Mujeres;Población;1219;
Diseminado de Mojácar Playa;Ambos sexos;Población;109;
Diseminado de Mojácar Playa;Hombres;Población;54;
Diseminado de Mojácar Playa;Mujeres;Población;55;
Nacimiento;Ambos sexos;Población;504;
Nacimiento;Hombres;Población;266;
Nacimiento;Mujeres;Población;238;
E. singular Gilma;Ambos sexos;Población;3;
E. singular Gilma;Hombres;Población;1;
E. singular Gilma;Mujeres;Población;2;
Diseminado de Gilma;Ambos sexos;Población;3;
Diseminado de Gilma;Hombres;Población;1;
Diseminado de Gilma;Mujeres;Población;2;
E. singular La Estación;Ambos sexos;Población;1;
E. singular La Estación;Hombres;Población;1;
E. singular La Estación;Mujeres;Población;-;
Diseminado de La Estación;Ambos sexos;Población;1;
Diseminado de La Estación;Hombres;Población;1;
Diseminado de La Estación;Mujeres;Población;-;
E. singular Los Navarros;Ambos sexos;Población;26;
E. singular Los Navarros;Hombres;Población;15;
E. singular Los Navarros;Mujeres;Población;11;
Diseminado de Los Navarros;Ambos sexos;Población;26;
Diseminado de Los Navarros;Hombres;Población;15;
Diseminado de Los Navarros;Mujeres;Población;11;
E. singular Los Piletas;Ambos sexos;Población;7;
E. singular Los Piletas;Hombres;Población;6;
E. singular Los Piletas;Mujeres;Población;1;
Diseminado de Los Piletas;Ambos sexos;Población;7;
Diseminado de Los Piletas;Hombres;Población;6;
Diseminado de Los Piletas;Mujeres;Población;1;
E. singular Los Rojas;Ambos sexos;Población;8;
E. singular Los Rojas;Hombres;Población;5;
E. singular Los Rojas;Mujeres;Población;3;
Diseminado de Los Rojas;Ambos sexos;Población;8;
Diseminado de Los Rojas;Hombres;Población;5;
Diseminado de Los Rojas;Mujeres;Población;3;
E. singular Los Sanchos;Ambos sexos;Población;5;
E. singular Los Sanchos;Hombres;Población;4;
E. singular Los Sanchos;Mujeres;Población;1;
Diseminado de Los Sanchos;Ambos sexos;Población;5;
Diseminado de Los Sanchos;Hombres;Población;4;
Diseminado de Los Sanchos;Mujeres;Población;1;
E. singular Nacimiento;Ambos sexos;Población;454;
E. singular Nacimiento;Hombres;Población;234;
E. singular Nacimiento;Mujeres;Población;220;
Núcleo Nacimiento;Ambos sexos;Población;439;
Núcleo Nacimiento;Hombres;Población;224;
Núcleo Nacimiento;Mujeres;Población;215;
Diseminado de Nacimiento;Ambos sexos;Población;15;
Diseminado de Nacimiento;Hombres;Población;10;
Diseminado de Nacimiento;Mujeres;Población;5;
Níjar;Ambos sexos;Población;33348;
Níjar;Hombres;Población;19091;
Níjar;Mujeres;Población;14257;
E. singular Agua Amarga;Ambos sexos;Población;404;
E. singular Agua Amarga;Hombres;Población;203;
E. singular Agua Amarga;Mujeres;Población;201;
Núcleo Agua Amarga;Ambos sexos;Población;271;
Núcleo Agua Amarga;Hombres;Población;133;
Núcleo Agua Amarga;Mujeres;Población;138;
Diseminado de Agua Amarga;Ambos sexos;Población;133;
Diseminado de Agua Amarga;Hombres;Población;70;
Diseminado de Agua Amarga;Mujeres;Población;63;
E. singular Albaricoques;Ambos sexos;Población;391;
E. singular Albaricoques;Hombres;Población;236;
E. singular Albaricoques;Mujeres;Población;155;
Núcleo Albaricoques;Ambos sexos;Población;247;
Núcleo Albaricoques;Hombres;Población;128;
Núcleo Albaricoques;Mujeres;Población;119;
Diseminado de Albaricoques;Ambos sexos;Población;144;
Diseminado de Albaricoques;Hombres;Población;108;
Diseminado de Albaricoques;Mujeres;Población;36;
E. singular Atochares;Ambos sexos;Población;759;
E. singular Atochares;Hombres;Población;424;
E. singular Atochares;Mujeres;Población;335;
Núcleo Atochares;Ambos sexos;Población;366;
Núcleo Atochares;Hombres;Población;178;
Núcleo Atochares;Mujeres;Población;188;
Núcleo Las Casillas;Ambos sexos;Población;248;
Núcleo Las Casillas;Hombres;Población;150;
Núcleo Las Casillas;Mujeres;Población;98;
Diseminado de Atochares;Ambos sexos;Población;145;
Diseminado de Atochares;Hombres;Población;96;
Diseminado de Atochares;Mujeres;Población;49;
E. singular Campohermoso;Ambos sexos;Población;9960;
E. singular Campohermoso;Hombres;Población;5608;
E. singular Campohermoso;Mujeres;Población;4352;
Núcleo Campohermoso;Ambos sexos;Población;8711;
Núcleo Campohermoso;Hombres;Población;4835;
Núcleo Campohermoso;Mujeres;Población;3876;
Núcleo El Rodón;Ambos sexos;Población;149;
Núcleo El Rodón;Hombres;Población;114;
Núcleo El Rodón;Mujeres;Población;35;
Núcleo Vistabella;Ambos sexos;Población;320;
Núcleo Vistabella;Hombres;Población;184;
Núcleo Vistabella;Mujeres;Población;136;
Diseminado de Campohermoso;Ambos sexos;Población;780;
Diseminado de Campohermoso;Hombres;Población;475;
Diseminado de Campohermoso;Mujeres;Población;305;
E. singular El Barranquete;Ambos sexos;Población;1322;
E. singular El Barranquete;Hombres;Población;880;
E. singular El Barranquete;Mujeres;Población;442;
Núcleo Cuevas del Lino;Ambos sexos;Población;108;
Núcleo Cuevas del Lino;Hombres;Población;80;
Núcleo Cuevas del Lino;Mujeres;Población;28;
Núcleo El Barranquete;Ambos sexos;Población;548;
Núcleo El Barranquete;Hombres;Población;320;
Núcleo El Barranquete;Mujeres;Población;228;
Diseminado de El Barranquete;Ambos sexos;Población;666;
Diseminado de El Barranquete;Hombres;Población;480;
Diseminado de El Barranquete;Mujeres;Población;186;
E. singular El Nazareno;Ambos sexos;Población;168;
E. singular El Nazareno;Hombres;Población;117;
E. singular El Nazareno;Mujeres;Población;51;
Diseminado de El Nazareno;Ambos sexos;Población;168;
Diseminado de El Nazareno;Hombres;Población;117;
Diseminado de El Nazareno;Mujeres;Población;51;
E. singular El Viso;Ambos sexos;Población;803;
E. singular El Viso;Hombres;Población;512;
E. singular El Viso;Mujeres;Población;291;
Núcleo El Viso;Ambos sexos;Población;605;
Núcleo El Viso;Hombres;Población;367;
Núcleo El Viso;Mujeres;Población;238;
Diseminado de El Viso;Ambos sexos;Población;198;
Diseminado de El Viso;Hombres;Población;145;
Diseminado de El Viso;Mujeres;Población;53;
E. singular Fernán Pérez;Ambos sexos;Población;373;
E. singular Fernán Pérez;Hombres;Población;218;
E. singular Fernán Pérez;Mujeres;Población;155;
Núcleo Fernán Pérez;Ambos sexos;Población;192;
Núcleo Fernán Pérez;Hombres;Población;105;
Núcleo Fernán Pérez;Mujeres;Población;87;
Diseminado de Fernán Pérez;Ambos sexos;Población;181;
Diseminado de Fernán Pérez;Hombres;Población;113;
Diseminado de Fernán Pérez;Mujeres;Población;68;
E. singular Hornillo;Ambos sexos;Población;215;
E. singular Hornillo;Hombres;Población;131;
E. singular Hornillo;Mujeres;Población;84;
Diseminado de Hornillo;Ambos sexos;Población;215;
Diseminado de Hornillo;Hombres;Población;131;
Diseminado de Hornillo;Mujeres;Población;84;
E. singular Hortichuelas;Ambos sexos;Población;79;
E. singular Hortichuelas;Hombres;Población;43;
E. singular Hortichuelas;Mujeres;Población;36;
Núcleo Hortichuelas;Ambos sexos;Población;78;
Núcleo Hortichuelas;Hombres;Población;43;
Núcleo Hortichuelas;Mujeres;Población;35;
Diseminado de Hortichuelas;Ambos sexos;Población;1;
Diseminado de Hortichuelas;Hombres;Población;-;
Diseminado de Hortichuelas;Mujeres;Población;1;
E. singular Huebro;Ambos sexos;Población;23;
E. singular Huebro;Hombres;Población;11;
E. singular Huebro;Mujeres;Población;12;
Núcleo Huebro;Ambos sexos;Población;22;
Núcleo Huebro;Hombres;Población;10;
Núcleo Huebro;Mujeres;Población;12;
Diseminado de Huebro;Ambos sexos;Población;1;
Diseminado de Huebro;Hombres;Población;1;
Diseminado de Huebro;Mujeres;Población;-;
E. singular La Isleta;Ambos sexos;Población;255;
E. singular La Isleta;Hombres;Población;140;
E. singular La Isleta;Mujeres;Población;115;
Núcleo Isleta del Moro;Ambos sexos;Población;190;
Núcleo Isleta del Moro;Hombres;Población;102;
Núcleo Isleta del Moro;Mujeres;Población;88;
Núcleo Presillas Bajas;Ambos sexos;Población;24;
Núcleo Presillas Bajas;Hombres;Población;15;
Núcleo Presillas Bajas;Mujeres;Población;9;
Diseminado de La Isleta;Ambos sexos;Población;41;
Diseminado de La Isleta;Hombres;Población;23;
Diseminado de La Isleta;Mujeres;Población;18;
E. singular Las Negras;Ambos sexos;Población;399;
E. singular Las Negras;Hombres;Población;209;
E. singular Las Negras;Mujeres;Población;190;
Núcleo Las Negras;Ambos sexos;Población;368;
Núcleo Las Negras;Hombres;Población;193;
Núcleo Las Negras;Mujeres;Población;175;
Diseminado de Las Negras;Ambos sexos;Población;31;
Diseminado de Las Negras;Hombres;Población;16;
Diseminado de Las Negras;Mujeres;Población;15;
E. singular Los Nietos;Ambos sexos;Población;1016;
E. singular Los Nietos;Hombres;Población;640;
E. singular Los Nietos;Mujeres;Población;376;
Núcleo Las Norias;Ambos sexos;Población;43;
Núcleo Las Norias;Hombres;Población;21;
Núcleo Las Norias;Mujeres;Población;22;
Núcleo Los Grillos;Ambos sexos;Población;389;
Núcleo Los Grillos;Hombres;Población;255;
Núcleo Los Grillos;Mujeres;Población;134;
Núcleo Los Nietos;Ambos sexos;Población;284;
Núcleo Los Nietos;Hombres;Población;164;
Núcleo Los Nietos;Mujeres;Población;120;
Diseminado de Los Nietos;Ambos sexos;Población;300;
Diseminado de Los Nietos;Hombres;Población;200;
Diseminado de Los Nietos;Mujeres;Población;100;
E. singular Níjar;Ambos sexos;Población;3214;
E. singular Níjar;Hombres;Población;1702;
E. singular Níjar;Mujeres;Población;1512;
Núcleo El Jabonero;Ambos sexos;Población;175;
Núcleo El Jabonero;Hombres;Población;98;
Núcleo El Jabonero;Mujeres;Población;77;
Núcleo La Fuensanta;Ambos sexos;Población;55;
Núcleo La Fuensanta;Hombres;Población;27;
Núcleo La Fuensanta;Mujeres;Población;28;
Núcleo Níjar;Ambos sexos;Población;2293;
Núcleo Níjar;Hombres;Población;1155;
Núcleo Níjar;Mujeres;Población;1138;
Núcleo Torre del Campo;Ambos sexos;Población;162;
Núcleo Torre del Campo;Hombres;Población;87;
Núcleo Torre del Campo;Mujeres;Población;75;
Diseminado de Níjar;Ambos sexos;Población;529;
Diseminado de Níjar;Hombres;Población;335;
Diseminado de Níjar;Mujeres;Población;194;
E. singular Pozo de los Frailes;Ambos sexos;Población;497;
E. singular Pozo de los Frailes;Hombres;Población;255;
E. singular Pozo de los Frailes;Mujeres;Población;242;
Núcleo Boca de los Frailes;Ambos sexos;Población;43;
Núcleo Boca de los Frailes;Hombres;Población;21;
Núcleo Boca de los Frailes;Mujeres;Población;22;
Núcleo Pozo de los Frailes;Ambos sexos;Población;409;
Núcleo Pozo de los Frailes;Hombres;Población;213;
Núcleo Pozo de los Frailes;Mujeres;Población;196;
Diseminado de Pozo de los Frailes;Ambos sexos;Población;45;
Diseminado de Pozo de los Frailes;Hombres;Población;21;
Diseminado de Pozo de los Frailes;Mujeres;Población;24;
E. singular Pueblo Blanco;Ambos sexos;Población;1407;
E. singular Pueblo Blanco;Hombres;Población;858;
E. singular Pueblo Blanco;Mujeres;Población;549;
Núcleo Pozo del Capitán;Ambos sexos;Población;68;
Núcleo Pozo del Capitán;Hombres;Población;41;
Núcleo Pozo del Capitán;Mujeres;Población;27;
Núcleo Pueblo Blanco;Ambos sexos;Población;671;
Núcleo Pueblo Blanco;Hombres;Población;374;
Núcleo Pueblo Blanco;Mujeres;Población;297;
Diseminado de Pueblo Blanco;Ambos sexos;Población;668;
Diseminado de Pueblo Blanco;Hombres;Población;443;
Diseminado de Pueblo Blanco;Mujeres;Población;225;
E. singular Pujaire;Ambos sexos;Población;511;
E. singular Pujaire;Hombres;Población;274;
E. singular Pujaire;Mujeres;Población;237;
Núcleo La Fabriquilla;Ambos sexos;Población;13;
Núcleo La Fabriquilla;Hombres;Población;7;
Núcleo La Fabriquilla;Mujeres;Población;6;
Núcleo Pujaire;Ambos sexos;Población;398;
Núcleo Pujaire;Hombres;Población;205;
Núcleo Pujaire;Mujeres;Población;193;
Diseminado de Pujaire;Ambos sexos;Población;100;
Diseminado de Pujaire;Hombres;Población;62;
Diseminado de Pujaire;Mujeres;Población;38;
E. singular Rodalquilar;Ambos sexos;Población;180;
E. singular Rodalquilar;Hombres;Población;99;
E. singular Rodalquilar;Mujeres;Población;81;
Núcleo Rodalquilar;Ambos sexos;Población;152;
Núcleo Rodalquilar;Hombres;Población;86;
Núcleo Rodalquilar;Mujeres;Población;66;
Diseminado de Rodalquilar;Ambos sexos;Población;28;
Diseminado de Rodalquilar;Hombres;Población;13;
Diseminado de Rodalquilar;Mujeres;Población;15;
E. singular Ruescas;Ambos sexos;Población;578;
E. singular Ruescas;Hombres;Población;343;
E. singular Ruescas;Mujeres;Población;235;
Núcleo Ruescas;Ambos sexos;Población;353;
Núcleo Ruescas;Hombres;Población;190;
Núcleo Ruescas;Mujeres;Población;163;
Diseminado de Ruescas;Ambos sexos;Población;225;
Diseminado de Ruescas;Hombres;Población;153;
Diseminado de Ruescas;Mujeres;Población;72;
E. singular Saladar y Leche;Ambos sexos;Población;1321;
E. singular Saladar y Leche;Hombres;Población;818;
E. singular Saladar y Leche;Mujeres;Población;503;
Núcleo Los Cortijillos;Ambos sexos;Población;21;
Núcleo Los Cortijillos;Hombres;Población;9;
Núcleo Los Cortijillos;Mujeres;Población;12;
Núcleo Saladar y Leche;Ambos sexos;Población;62;
Núcleo Saladar y Leche;Hombres;Población;38;
Núcleo Saladar y Leche;Mujeres;Población;24;
Diseminado de Saladar y Leche;Ambos sexos;Población;1238;
Diseminado de Saladar y Leche;Hombres;Población;771;
Diseminado de Saladar y Leche;Mujeres;Población;467;
E. singular San Isidro de Níjar;Ambos sexos;Población;8291;
E. singular San Isidro de Níjar;Hombres;Población;4743;
E. singular San Isidro de Níjar;Mujeres;Población;3548;
Núcleo San Isidro de Níjar;Ambos sexos;Población;7534;
Núcleo San Isidro de Níjar;Hombres;Población;4234;
Núcleo San Isidro de Níjar;Mujeres;Población;3300;
Diseminado de San Isidro de Níjar;Ambos sexos;Población;757;
Diseminado de San Isidro de Níjar;Hombres;Población;509;
Diseminado de San Isidro de Níjar;Mujeres;Población;248;
E. singular San José;Ambos sexos;Población;907;
E. singular San José;Hombres;Población;467;
E. singular San José;Mujeres;Población;440;
Núcleo San José;Ambos sexos;Población;885;
Núcleo San José;Hombres;Población;454;
Núcleo San José;Mujeres;Población;431;
Diseminado de San José;Ambos sexos;Población;22;
Diseminado de San José;Hombres;Población;13;
Diseminado de San José;Mujeres;Población;9;
E. singular Venta del Pobre;Ambos sexos;Población;275;
E. singular Venta del Pobre;Hombres;Población;160;
E. singular Venta del Pobre;Mujeres;Población;115;
Núcleo Venta del Pobre;Ambos sexos;Población;176;
Núcleo Venta del Pobre;Hombres;Población;96;
Núcleo Venta del Pobre;Mujeres;Población;80;
Diseminado de Venta del Pobre;Ambos sexos;Población;99;
Diseminado de Venta del Pobre;Hombres;Población;64;
Diseminado de Venta del Pobre;Mujeres;Población;35;
Ohanes;Ambos sexos;Población;549;
Ohanes;Hombres;Población;284;
Ohanes;Mujeres;Población;265;
E. singular Ohanes;Ambos sexos;Población;547;
E. singular Ohanes;Hombres;Población;282;
E. singular Ohanes;Mujeres;Población;265;
Núcleo Ohanes;Ambos sexos;Población;514;
Núcleo Ohanes;Hombres;Población;262;
Núcleo Ohanes;Mujeres;Población;252;
Diseminado de Ohanes;Ambos sexos;Población;33;
Diseminado de Ohanes;Hombres;Población;20;
Diseminado de Ohanes;Mujeres;Población;13;
E. singular Tices;Ambos sexos;Población;2;
E. singular Tices;Hombres;Población;2;
E. singular Tices;Mujeres;Población;-;
Diseminado de Tices;Ambos sexos;Población;2;
Diseminado de Tices;Hombres;Población;2;
Diseminado de Tices;Mujeres;Población;-;
Olula de Castro;Ambos sexos;Población;182;
Olula de Castro;Hombres;Población;102;
Olula de Castro;Mujeres;Población;80;
E. singular El Tallón Bajo;Ambos sexos;Población;8;
E. singular El Tallón Bajo;Hombres;Población;3;
E. singular El Tallón Bajo;Mujeres;Población;5;
Diseminado de El Tallón Bajo;Ambos sexos;Población;8;
Diseminado de El Tallón Bajo;Hombres;Población;3;
Diseminado de El Tallón Bajo;Mujeres;Población;5;
E. singular Olula de Castro;Ambos sexos;Población;174;
E. singular Olula de Castro;Hombres;Población;99;
E. singular Olula de Castro;Mujeres;Población;75;
Núcleo Olula de Castro;Ambos sexos;Población;170;
Núcleo Olula de Castro;Hombres;Población;96;
Núcleo Olula de Castro;Mujeres;Población;74;
Diseminado de Olula de Castro;Ambos sexos;Población;4;
Diseminado de Olula de Castro;Hombres;Población;3;
Diseminado de Olula de Castro;Mujeres;Población;1;
Olula del Río;Ambos sexos;Población;6429;
Olula del Río;Hombres;Población;3300;
Olula del Río;Mujeres;Población;3129;
E. singular Huitar Mayor;Ambos sexos;Población;204;
E. singular Huitar Mayor;Hombres;Población;104;
E. singular Huitar Mayor;Mujeres;Población;100;
Núcleo Huitar Mayor;Ambos sexos;Población;54;
Núcleo Huitar Mayor;Hombres;Población;23;
Núcleo Huitar Mayor;Mujeres;Población;31;
Diseminado de Huitar Mayor;Ambos sexos;Población;150;
Diseminado de Huitar Mayor;Hombres;Población;81;
Diseminado de Huitar Mayor;Mujeres;Población;69;
E. singular Huitar Menor;Ambos sexos;Población;102;
E. singular Huitar Menor;Hombres;Población;55;
E. singular Huitar Menor;Mujeres;Población;47;
Diseminado de Huitar Menor;Ambos sexos;Población;102;
Diseminado de Huitar Menor;Hombres;Población;55;
Diseminado de Huitar Menor;Mujeres;Población;47;
E. singular La Noria;Ambos sexos;Población;252;
E. singular La Noria;Hombres;Población;127;
E. singular La Noria;Mujeres;Población;125;
Núcleo La Noria;Ambos sexos;Población;239;
Núcleo La Noria;Hombres;Población;124;
Núcleo La Noria;Mujeres;Población;115;
Diseminado de La Noria;Ambos sexos;Población;13;
Diseminado de La Noria;Hombres;Población;3;
Diseminado de La Noria;Mujeres;Población;10;
E. singular Olula del Río;Ambos sexos;Población;5871;
E. singular Olula del Río;Hombres;Población;3014;
E. singular Olula del Río;Mujeres;Población;2857;
Núcleo Olula del Río;Ambos sexos;Población;5863;
Núcleo Olula del Río;Hombres;Población;3010;
Núcleo Olula del Río;Mujeres;Población;2853;
Diseminado de Olula del Río;Ambos sexos;Población;8;
Diseminado de Olula del Río;Hombres;Población;4;
Diseminado de Olula del Río;Mujeres;Población;4;
Oria;Ambos sexos;Población;2233;
Oria;Hombres;Población;1168;
Oria;Mujeres;Población;1065;
E. singular El Margen;Ambos sexos;Población;115;
E. singular El Margen;Hombres;Población;62;
E. singular El Margen;Mujeres;Población;53;
Núcleo El Margen;Ambos sexos;Población;33;
Núcleo El Margen;Hombres;Población;20;
Núcleo El Margen;Mujeres;Población;13;
Núcleo Los Álamos;Ambos sexos;Población;10;
Núcleo Los Álamos;Hombres;Población;4;
Núcleo Los Álamos;Mujeres;Población;6;
Diseminado de El Margen;Ambos sexos;Población;72;
Diseminado de El Margen;Hombres;Población;38;
Diseminado de El Margen;Mujeres;Población;34;
E. singular El Negro;Ambos sexos;Población;114;
E. singular El Negro;Hombres;Población;68;
E. singular El Negro;Mujeres;Población;46;
Núcleo Capairola;Ambos sexos;Población;23;
Núcleo Capairola;Hombres;Población;15;
Núcleo Capairola;Mujeres;Población;8;
Núcleo El Chaparral;Ambos sexos;Población;9;
Núcleo El Chaparral;Hombres;Población;7;
Núcleo El Chaparral;Mujeres;Población;2;
Núcleo Fuente Jerónimo;Ambos sexos;Población;12;
Núcleo Fuente Jerónimo;Hombres;Población;7;
Núcleo Fuente Jerónimo;Mujeres;Población;5;
Núcleo La Fuente del Negro;Ambos sexos;Población;15;
Núcleo La Fuente del Negro;Hombres;Población;8;
Núcleo La Fuente del Negro;Mujeres;Población;7;
Diseminado de El Negro;Ambos sexos;Población;55;
Diseminado de El Negro;Hombres;Población;31;
Diseminado de El Negro;Mujeres;Población;24;
E. singular La Rambla de Oria;Ambos sexos;Población;514;
E. singular La Rambla de Oria;Hombres;Población;269;
E. singular La Rambla de Oria;Mujeres;Población;245;
Núcleo El Arroyo Medina;Ambos sexos;Población;75;
Núcleo El Arroyo Medina;Hombres;Población;39;
Núcleo El Arroyo Medina;Mujeres;Población;36;
Núcleo El Barranco de Quiles;Ambos sexos;Población;34;
Núcleo El Barranco de Quiles;Hombres;Población;19;
Núcleo El Barranco de Quiles;Mujeres;Población;15;
Núcleo El Daimuz;Ambos sexos;Población;36;
Núcleo El Daimuz;Hombres;Población;18;
Núcleo El Daimuz;Mujeres;Población;18;
Núcleo El Peñón Alto;Ambos sexos;Población;24;
Núcleo El Peñón Alto;Hombres;Población;12;
Núcleo El Peñón Alto;Mujeres;Población;12;
Núcleo El Peñón Bajo;Ambos sexos;Población;78;
Núcleo El Peñón Bajo;Hombres;Población;39;
Núcleo El Peñón Bajo;Mujeres;Población;39;
Núcleo La Ermita;Ambos sexos;Población;56;
Núcleo La Ermita;Hombres;Población;30;
Núcleo La Ermita;Mujeres;Población;26;
Núcleo Los Adrianes;Ambos sexos;Población;11;
Núcleo Los Adrianes;Hombres;Población;6;
Núcleo Los Adrianes;Mujeres;Población;5;
Núcleo Los Chacones;Ambos sexos;Población;39;
Núcleo Los Chacones;Hombres;Población;24;
Núcleo Los Chacones;Mujeres;Población;15;
Núcleo Los Gázquez;Ambos sexos;Población;12;
Núcleo Los Gázquez;Hombres;Población;7;
Núcleo Los Gázquez;Mujeres;Población;5;
Núcleo Los González;Ambos sexos;Población;9;
Núcleo Los González;Hombres;Población;4;
Núcleo Los González;Mujeres;Población;5;
Núcleo Los Jacintos;Ambos sexos;Población;15;
Núcleo Los Jacintos;Hombres;Población;8;
Núcleo Los Jacintos;Mujeres;Población;7;
Núcleo San Miguel;Ambos sexos;Población;33;
Núcleo San Miguel;Hombres;Población;18;
Núcleo San Miguel;Mujeres;Población;15;
Diseminado de La Rambla de Oria;Ambos sexos;Población;92;
Diseminado de La Rambla de Oria;Hombres;Población;45;
Diseminado de La Rambla de Oria;Mujeres;Población;47;
E. singular Los Cerricos;Ambos sexos;Población;283;
E. singular Los Cerricos;Hombres;Población;133;
E. singular Los Cerricos;Mujeres;Población;150;
Núcleo Doña Juana;Ambos sexos;Población;17;
Núcleo Doña Juana;Hombres;Población;8;
Núcleo Doña Juana;Mujeres;Población;9;
Núcleo El Villar;Ambos sexos;Población;8;
Núcleo El Villar;Hombres;Población;5;
Núcleo El Villar;Mujeres;Población;3;
Núcleo La Cañada;Ambos sexos;Población;17;
Núcleo La Cañada;Hombres;Población;7;
Núcleo La Cañada;Mujeres;Población;10;
Núcleo La Yegua Baja;Ambos sexos;Población;49;
Núcleo La Yegua Baja;Hombres;Población;27;
Núcleo La Yegua Baja;Mujeres;Población;22;
Núcleo Los Cerricos;Ambos sexos;Población;90;
Núcleo Los Cerricos;Hombres;Población;41;
Núcleo Los Cerricos;Mujeres;Población;49;
Núcleo Los Finos;Ambos sexos;Población;17;
Núcleo Los Finos;Hombres;Población;10;
Núcleo Los Finos;Mujeres;Población;7;
Núcleo Los Malinos;Ambos sexos;Población;28;
Núcleo Los Malinos;Hombres;Población;9;
Núcleo Los Malinos;Mujeres;Población;19;
Diseminado de Los Cerricos;Ambos sexos;Población;57;
Diseminado de Los Cerricos;Hombres;Población;26;
Diseminado de Los Cerricos;Mujeres;Población;31;
E. singular Ogarite;Ambos sexos;Población;202;
